,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
0,male,group E,bachelor's degree,standard,none,87,76,76
1,female,group C,associate's degree,standard,none,64,71,66
2,male,group C,some college,free/reduced,completed,77,75,75
3,male,group C,some college,standard,none,94,83,80
4,female,group C,associate's degree,free/reduced,none,82,89,87
5,male,group C,some college,standard,none,89,88,84
6,female,group B,some high school,free/reduced,none,54,64,56
7,male,group B,associate's degree,standard,completed,83,75,77
8,male,group D,some high school,standard,none,89,82,83
9,male,group D,master's degree,standard,completed,100,89,90
10,female,group B,bachelor's degree,free/reduced,none,35,46,41
11,female,group D,high school,standard,completed,44,56,58
12,male,group B,bachelor's degree,standard,none,65,59,63
13,male,group C,master's degree,standard,none,87,87,78
14,female,group E,some high school,free/reduced,completed,87,90,93
15,female,group C,some high school,standard,completed,41,60,55
16,female,group C,bachelor's degree,free/reduced,none,81,87,89
17,male,group C,some college,standard,completed,77,84,83
18,female,group D,associate's degree,standard,none,60,66,68
19,male,group C,master's degree,free/reduced,none,53,50,46
20,male,group E,bachelor's degree,free/reduced,none,72,70,64
21,female,group D,high school,standard,none,73,86,86
22,female,group A,high school,free/reduced,completed,57,70,68
23,male,group C,some high school,standard,none,62,58,55
24,male,group D,associate's degree,standard,completed,44,42,46
25,male,group D,some college,standard,none,93,90,90
26,female,group B,some college,free/reduced,none,69,79,78
27,female,group D,some college,standard,completed,48,61,61
28,male,group D,associate's degree,standard,none,61,59,52
29,male,group C,associate's degree,standard,none,81,72,69
30,male,group B,high school,standard,none,44,46,38
31,male,group C,bachelor's degree,standard,none,75,65,65
32,female,group C,high school,standard,none,51,57,52
33,female,group B,bachelor's degree,standard,none,69,80,82
34,female,group D,some college,free/reduced,none,50,58,55
35,female,group C,high school,free/reduced,none,52,68,68
36,female,group C,some high school,standard,completed,73,86,84
37,female,group C,bachelor's degree,standard,none,69,71,74
38,female,group D,associate's degree,standard,none,68,69,76
39,male,group A,high school,standard,completed,61,54,57
40,female,group C,some high school,free/reduced,none,52,68,56
41,male,group D,some college,standard,completed,100,92,88
42,male,group C,high school,standard,none,84,90,80
43,female,group D,some college,standard,none,55,65,66
44,male,group C,high school,standard,completed,76,82,76
45,female,group D,bachelor's degree,free/reduced,none,59,70,71
46,male,group C,high school,free/reduced,none,36,44,28
47,female,group C,some college,standard,none,83,89,94
48,male,group C,some college,free/reduced,none,61,62,58
49,male,group B,some college,standard,completed,95,93,90
50,male,group D,associate's degree,standard,none,65,65,57
51,male,group E,some high school,standard,completed,92,86,84
52,male,group A,some high school,standard,none,84,66,70
53,male,group C,some high school,standard,none,61,46,52
54,male,group C,bachelor's degree,free/reduced,none,69,75,70
55,male,group C,some high school,free/reduced,completed,58,53,49
56,male,group D,associate's degree,free/reduced,none,60,67,61
57,male,group C,associate's degree,free/reduced,none,62,67,59
58,male,group D,some college,standard,completed,79,82,79
59,female,group D,associate's degree,standard,none,76,91,94
60,male,group B,bachelor's degree,standard,none,86,80,78
61,female,group C,some college,standard,none,62,68,70
62,male,group B,high school,standard,none,78,84,73
63,male,group B,master's degree,free/reduced,none,56,60,55
64,male,group D,associate's degree,standard,none,54,51,49
65,female,group D,some high school,standard,completed,76,84,82
66,male,group B,associate's degree,standard,none,52,50,39
67,female,group A,associate's degree,standard,none,47,55,59
68,male,group C,bachelor's degree,standard,completed,80,81,82
69,male,group B,some high school,free/reduced,none,61,59,57
70,female,group E,high school,standard,none,57,59,57
71,female,group C,some college,standard,none,69,81,69
72,female,group A,associate's degree,free/reduced,none,30,48,43
73,male,group B,bachelor's degree,standard,none,91,82,80
74,female,group B,bachelor's degree,standard,none,85,99,96
75,male,group C,bachelor's degree,standard,none,68,67,59
76,male,group C,bachelor's degree,standard,none,56,52,53
77,male,group A,some college,standard,none,61,67,65
78,male,group A,some high school,standard,completed,53,66,63
79,male,group B,some college,standard,none,53,55,48
80,male,group E,high school,free/reduced,completed,70,76,74
81,male,group B,some high school,free/reduced,none,32,22,20
82,female,group B,high school,standard,none,67,85,80
83,male,group E,some college,free/reduced,none,69,60,62
84,male,group A,high school,standard,none,79,70,68
85,male,group B,some college,standard,none,94,87,80
86,male,group C,associate's degree,free/reduced,none,69,73,69
87,male,group C,associate's degree,free/reduced,completed,59,69,63
88,male,group E,bachelor's degree,standard,completed,88,72,78
89,male,group D,some college,standard,completed,81,82,80
90,female,group C,some high school,free/reduced,none,66,81,72
91,female,group A,some college,standard,none,58,71,67
92,female,group B,associate's degree,free/reduced,none,55,64,60
93,male,group C,some college,standard,none,72,66,62
94,male,group D,some high school,standard,none,58,54,50
95,female,group D,associate's degree,standard,completed,79,89,96
96,female,group C,high school,standard,none,59,63,64
97,male,group D,high school,standard,completed,73,72,73
98,female,group C,some high school,free/reduced,none,55,74,71
99,female,group A,bachelor's degree,free/reduced,none,65,72,72
100,female,group E,high school,free/reduced,none,69,78,73
101,female,group E,associate's degree,free/reduced,none,46,56,47
102,female,group C,master's degree,free/reduced,completed,69,71,79
103,female,group B,some college,standard,none,77,83,83
104,male,group B,some college,standard,none,90,86,81
105,female,group B,some high school,standard,none,78,81,77
106,male,group D,some high school,free/reduced,none,56,51,54
107,male,group B,associate's degree,free/reduced,none,46,34,37
108,female,group C,high school,standard,completed,83,99,96
109,male,group D,master's degree,free/reduced,completed,64,63,71
110,female,group B,high school,free/reduced,completed,53,72,72
111,male,group E,associate's degree,standard,completed,89,77,77
112,male,group D,high school,standard,completed,75,66,63
113,male,group C,associate's degree,standard,none,91,79,76
114,male,group E,bachelor's degree,free/reduced,none,84,83,75
115,male,group B,high school,free/reduced,completed,63,59,54
116,male,group C,some high school,standard,completed,56,59,60
117,male,group A,master's degree,free/reduced,completed,68,74,73
118,female,group C,associate's degree,standard,completed,66,74,79
119,female,group C,some high school,standard,completed,71,84,84
120,female,group C,some college,free/reduced,none,70,85,86
121,male,group D,high school,standard,none,89,83,78
122,female,group E,high school,free/reduced,completed,68,79,78
123,male,group B,bachelor's degree,standard,completed,86,80,85
124,female,group C,master's degree,standard,none,67,77,72
125,female,group D,some college,standard,none,68,82,78
126,female,group C,some college,standard,completed,69,81,84
127,female,group D,some high school,free/reduced,none,51,58,61
128,female,group D,high school,standard,none,60,60,58
129,female,group D,high school,standard,completed,78,78,86
130,male,group C,some college,free/reduced,none,68,62,62
131,female,group B,some high school,free/reduced,completed,47,61,59
132,male,group C,some high school,standard,none,75,75,71
133,male,group C,some high school,standard,none,54,48,47
134,male,group E,high school,standard,completed,68,59,63
135,female,group C,some high school,free/reduced,none,45,52,50
136,female,group C,associate's degree,standard,none,55,65,63
137,male,group B,some high school,standard,none,70,64,55
138,female,group B,associate's degree,standard,completed,58,57,60
139,female,group D,master's degree,standard,none,73,82,78
140,male,group D,some high school,standard,none,56,58,54
