"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group D","some high school","standard","completed","67","64","72"
"male","group A","high school","standard","completed","73","63","58"
"female","group D","some high school","standard","none","74","78","81"
"male","group E","high school","standard","completed","80","67","62"
"female","group D","bachelor's degree","standard","none","67","73","80"
"female","group C","bachelor's degree","free/reduced","none","81","82","86"
"male","group C","master's degree","standard","none","83","88","87"
"male","group C","some high school","standard","none","85","83","75"
"female","group C","associate's degree","standard","none","69","77","75"
"male","group E","some college","standard","none","90","83","82"
"female","group B","master's degree","standard","none","74","78","80"
"male","group C","associate's degree","standard","none","86","80","77"
"female","group B","some high school","standard","none","44","46","38"
"male","group B","some college","standard","completed","95","91","85"
"female","group D","some college","standard","none","70","86","82"
"male","group E","associate's degree","standard","none","100","91","90"
"male","group B","some college","standard","none","57","49","50"
"male","group D","master's degree","standard","completed","89","87","89"
"male","group B","bachelor's degree","standard","completed","79","82","81"
"female","group B","some college","standard","completed","41","52","49"
"male","group E","associate's degree","standard","completed","94","87","92"
"female","group A","associate's degree","free/reduced","none","50","70","68"
"female","group E","some college","free/reduced","none","67","67","67"
"male","group E","high school","standard","completed","68","64","69"
"female","group A","some college","standard","none","69","84","85"
"male","group A","associate's degree","standard","completed","77","75","77"
"female","group D","high school","standard","none","61","66","72"
"female","group B","associate's degree","standard","none","66","63","66"
"female","group C","high school","standard","none","55","51","51"
"female","group D","associate's degree","free/reduced","none","56","59","59"
"male","group B","some college","standard","completed","60","59","62"
"female","group C","associate's degree","standard","completed","68","79","86"
"female","group D","high school","standard","none","75","85","78"
"male","group B","high school","standard","none","73","66","66"
"female","group B","some high school","standard","none","58","66","58"
"female","group D","some high school","standard","none","57","69","67"
"male","group B","some college","free/reduced","completed","55","61","55"
"male","group D","some college","free/reduced","completed","63","64","67"
"male","group C","some high school","standard","completed","66","57","63"
"female","group C","master's degree","free/reduced","completed","54","61","65"
"male","group C","some college","standard","none","77","66","63"
"male","group D","associate's degree","standard","completed","69","64","72"
"male","group D","master's degree","standard","none","70","58","58"
"female","group E","some college","free/reduced","none","80","79","79"
"female","group E","associate's degree","free/reduced","none","57","65","64"
"female","group E","some high school","standard","none","60","63","61"
"female","group D","bachelor's degree","free/reduced","none","49","66","65"
"male","group B","some college","free/reduced","none","59","60","57"
"female","group B","associate's degree","standard","none","67","87","76"
"female","group B","bachelor's degree","standard","none","65","76","73"
"male","group D","some college","standard","none","30","18","19"
"female","group A","high school","standard","completed","65","81","80"
"female","group C","some college","standard","none","80","96","94"
"female","group A","some college","standard","none","73","86","78"
"male","group C","high school","standard","none","93","78","76"
"male","group C","high school","standard","none","54","62","53"
"male","group C","high school","standard","none","65","55","57"
"female","group B","associate's degree","free/reduced","none","55","61","55"
"male","group D","some high school","free/reduced","none","68","71","71"
"male","group D","some college","standard","none","61","52","56"
"female","group D","some college","free/reduced","none","64","72","72"
"male","group B","associate's degree","free/reduced","completed","65","72","71"
"female","group C","some high school","free/reduced","completed","73","85","75"
"female","group E","bachelor's degree","free/reduced","none","47","70","72"
"male","group A","high school","standard","none","55","50","45"
"female","group E","high school","free/reduced","completed","71","77","81"
"female","group B","some college","standard","completed","76","72","80"
"female","group B","some high school","standard","completed","50","53","59"
