"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group E","bachelor's degree","standard","none","87","76","76"
"female","group C","associate's degree","standard","none","64","71","66"
"male","group C","some college","free/reduced","completed","77","75","75"
"male","group C","some college","standard","none","94","83","80"
"female","group C","associate's degree","free/reduced","none","82","89","87"
"male","group C","some college","standard","none","89","88","84"
"female","group B","some high school","free/reduced","none","54","64","56"
"male","group B","associate's degree","standard","completed","83","75","77"
"male","group D","some high school","standard","none","89","82","83"
"male","group D","master's degree","standard","completed","100","89","90"
"female","group B","bachelor's degree","free/reduced","none","35","46","41"
"female","group D","high school","standard","completed","44","56","58"
"male","group B","bachelor's degree","standard","none","65","59","63"
"male","group C","master's degree","standard","none","87","87","78"
"female","group E","some high school","free/reduced","completed","87","90","93"
"female","group C","some high school","standard","completed","41","60","55"
"female","group C","bachelor's degree","free/reduced","none","81","87","89"
"male","group C","some college","standard","completed","77","84","83"
"female","group D","associate's degree","standard","none","60","66","68"
"male","group C","master's degree","free/reduced","none","53","50","46"
"male","group E","bachelor's degree","free/reduced","none","72","70","64"
"female","group D","high school","standard","none","73","86","86"
"female","group A","high school","free/reduced","completed","57","70","68"
"male","group C","some high school","standard","none","62","58","55"
"male","group D","associate's degree","standard","completed","44","42","46"
"male","group D","some college","standard","none","93","90","90"
"female","group B","some college","free/reduced","none","69","79","78"
"female","group D","some college","standard","completed","48","61","61"
"male","group D","associate's degree","standard","none","61","59","52"
"male","group C","associate's degree","standard","none","81","72","69"
"male","group B","high school","standard","none","44","46","38"
"male","group C","bachelor's degree","standard","none","75","65","65"
"female","group C","high school","standard","none","51","57","52"
"female","group B","bachelor's degree","standard","none","69","80","82"
"female","group D","some college","free/reduced","none","50","58","55"
"female","group C","high school","free/reduced","none","52","68","68"
"female","group C","some high school","standard","completed","73","86","84"
"female","group C","bachelor's degree","standard","none","69","71","74"
"female","group D","associate's degree","standard","none","68","69","76"
"male","group A","high school","standard","completed","61","54","57"
"female","group C","some high school","free/reduced","none","52","68","56"
"male","group D","some college","standard","completed","100","92","88"
"male","group C","high school","standard","none","84","90","80"
"female","group D","some college","standard","none","55","65","66"
"male","group C","high school","standard","completed","76","82","76"
"female","group D","bachelor's degree","free/reduced","none","59","70","71"
"male","group C","high school","free/reduced","none","36","44","28"
"female","group C","some college","standard","none","83","89","94"
"male","group C","some college","free/reduced","none","61","62","58"
"male","group B","some college","standard","completed","95","93","90"
"male","group D","associate's degree","standard","none","65","65","57"
"male","group E","some high school","standard","completed","92","86","84"
"male","group A","some high school","standard","none","84","66","70"
"male","group C","some high school","standard","none","61","46","52"
"male","group C","bachelor's degree","free/reduced","none","69","75","70"
"male","group C","some high school","free/reduced","completed","58","53","49"
"male","group D","associate's degree","free/reduced","none","60","67","61"
"male","group C","associate's degree","free/reduced","none","62","67","59"
"male","group D","some college","standard","completed","79","82","79"
"female","group D","associate's degree","standard","none","76","91","94"
"male","group B","bachelor's degree","standard","none","86","80","78"
"female","group C","some college","standard","none","62","68","70"
"male","group B","high school","standard","none","78","84","73"
"male","group B","master's degree","free/reduced","none","56","60","55"
"male","group D","associate's degree","standard","none","54","51","49"
"female","group D","some high school","standard","completed","76","84","82"
"male","group B","associate's degree","standard","none","52","50","39"
"female","group A","associate's degree","standard","none","47","55","59"
"male","group C","bachelor's degree","standard","completed","80","81","82"
"male","group B","some high school","free/reduced","none","61","59","57"
"female","group E","high school","standard","none","57","59","57"
"female","group C","some college","standard","none","69","81","69"
"female","group A","associate's degree","free/reduced","none","30","48","43"
"male","group B","bachelor's degree","standard","none","91","82","80"
"female","group B","bachelor's degree","standard","none","85","99","96"
"male","group C","bachelor's degree","standard","none","68","67","59"
"male","group C","bachelor's degree","standard","none","56","52","53"
"male","group A","some college","standard","none","61","67","65"
"male","group A","some high school","standard","completed","53","66","63"
"male","group B","some college","standard","none","53","55","48"
"male","group E","high school","free/reduced","completed","70","76","74"
"male","group B","some high school","free/reduced","none","32","22","20"
"female","group B","high school","standard","none","67","85","80"
"male","group E","some college","free/reduced","none","69","60","62"
"male","group A","high school","standard","none","79","70","68"
"male","group B","some college","standard","none","94","87","80"
"male","group C","associate's degree","free/reduced","none","69","73","69"
"male","group C","associate's degree","free/reduced","completed","59","69","63"
"male","group E","bachelor's degree","standard","completed","88","72","78"
"male","group D","some college","standard","completed","81","82","80"
"female","group C","some high school","free/reduced","none","66","81","72"
"female","group A","some college","standard","none","58","71","67"
"female","group B","associate's degree","free/reduced","none","55","64","60"
"male","group C","some college","standard","none","72","66","62"
"male","group D","some high school","standard","none","58","54","50"
"female","group D","associate's degree","standard","completed","79","89","96"
"female","group C","high school","standard","none","59","63","64"
"male","group D","high school","standard","completed","73","72","73"
"female","group C","some high school","free/reduced","none","55","74","71"
"female","group A","bachelor's degree","free/reduced","none","65","72","72"
"female","group E","high school","free/reduced","none","69","78","73"
"female","group E","associate's degree","free/reduced","none","46","56","47"
"female","group C","master's degree","free/reduced","completed","69","71","79"
"female","group B","some college","standard","none","77","83","83"
"male","group B","some college","standard","none","90","86","81"
"female","group B","some high school","standard","none","78","81","77"
"male","group D","some high school","free/reduced","none","56","51","54"
"male","group B","associate's degree","free/reduced","none","46","34","37"
"female","group C","high school","standard","completed","83","99","96"
"male","group D","master's degree","free/reduced","completed","64","63","71"
"female","group B","high school","free/reduced","completed","53","72","72"
"male","group E","associate's degree","standard","completed","89","77","77"
"male","group D","high school","standard","completed","75","66","63"
"male","group C","associate's degree","standard","none","91","79","76"
"male","group E","bachelor's degree","free/reduced","none","84","83","75"
"male","group B","high school","free/reduced","completed","63","59","54"
"male","group C","some high school","standard","completed","56","59","60"
"male","group A","master's degree","free/reduced","completed","68","74","73"
"female","group C","associate's degree","standard","completed","66","74","79"
"female","group C","some high school","standard","completed","71","84","84"
"female","group C","some college","free/reduced","none","70","85","86"
"male","group D","high school","standard","none","89","83","78"
"female","group E","high school","free/reduced","completed","68","79","78"
"male","group B","bachelor's degree","standard","completed","86","80","85"
"female","group C","master's degree","standard","none","67","77","72"
"female","group D","some college","standard","none","68","82","78"
"female","group C","some college","standard","completed","69","81","84"
"female","group D","some high school","free/reduced","none","51","58","61"
"female","group D","high school","standard","none","60","60","58"
"female","group D","high school","standard","completed","78","78","86"
"male","group C","some college","free/reduced","none","68","62","62"
"female","group B","some high school","free/reduced","completed","47","61","59"
"male","group C","some high school","standard","none","75","75","71"
"male","group C","some high school","standard","none","54","48","47"
"male","group E","high school","standard","completed","68","59","63"
"female","group C","some high school","free/reduced","none","45","52","50"
"female","group C","associate's degree","standard","none","55","65","63"
"male","group B","some high school","standard","none","70","64","55"
"female","group B","associate's degree","standard","completed","58","57","60"
"female","group D","master's degree","standard","none","73","82","78"
"male","group D","some high school","standard","none","56","58","54"
"male","group D","some college","free/reduced","none","45","48","49"
"male","group D","associate's degree","standard","none","86","75","73"
"female","group D","high school","standard","none","77","87","86"
"male","group D","bachelor's degree","standard","none","64","58","58"
"male","group D","associate's degree","standard","none","88","83","80"
"female","group C","high school","standard","completed","84","97","95"
"male","group C","high school","standard","completed","75","77","75"
"male","group D","associate's degree","free/reduced","completed","74","77","77"
"female","group D","high school","free/reduced","none","51","65","66"
"female","group C","master's degree","free/reduced","none","55","66","64"
"female","group A","high school","free/reduced","none","57","71","71"
"male","group C","some college","standard","completed","66","70","69"
"female","group C","associate's degree","free/reduced","completed","56","69","68"
"male","group C","bachelor's degree","free/reduced","none","61","68","63"
"female","group C","bachelor's degree","free/reduced","completed","53","63","66"
"male","group C","some high school","standard","completed","50","48","41"
"female","group D","high school","standard","none","73","84","84"
"female","group D","associate's degree","free/reduced","completed","60","65","70"
"female","group E","associate's degree","standard","completed","77","86","87"
"male","group C","high school","free/reduced","none","69","62","52"
"male","group E","some college","standard","none","100","89","82"
"male","group D","master's degree","free/reduced","completed","79","67","75"
"male","group C","some high school","standard","none","73","65","61"
"male","group D","high school","standard","completed","92","80","80"
"female","group C","some college","standard","none","66","62","63"
"male","group B","some high school","standard","none","64","59","43"
"female","group E","some high school","standard","completed","64","76","81"
"male","group B","associate's degree","standard","none","62","66","55"
"female","group D","some college","standard","completed","57","73","74"
"female","group C","some college","standard","none","70","68","75"
"female","group C","some high school","free/reduced","none","32","56","51"
"female","group A","some high school","standard","completed","43","59","60"
"female","group A","high school","standard","completed","77","83","80"
"male","group E","some college","free/reduced","none","67","52","50"
"male","group B","high school","standard","none","75","71","73"
"female","group E","some high school","standard","none","77","80","79"
"female","group D","some high school","free/reduced","completed","36","48","55"
"female","group E","high school","free/reduced","none","64","63","68"
"male","group A","some high school","standard","none","69","65","60"
"female","group B","some college","standard","none","30","44","43"
"male","group D","some college","standard","completed","100","99","94"
"female","group E","associate's degree","standard","none","97","100","100"
"male","group C","bachelor's degree","free/reduced","completed","45","48","48"
"female","group B","bachelor's degree","standard","completed","54","69","70"
"female","group C","some college","standard","completed","36","47","52"
"female","group B","some college","free/reduced","none","46","65","66"
"male","group C","associate's degree","free/reduced","none","41","39","34"
"male","group D","some college","free/reduced","completed","43","53","52"
"male","group D","some college","standard","completed","89","78","87"
"female","group C","bachelor's degree","standard","none","67","75","74"
"female","group B","bachelor's degree","standard","none","64","79","76"
"female","group B","associate's degree","standard","completed","86","94","100"
"male","group E","associate's degree","standard","completed","94","78","85"
"female","group C","some high school","standard","none","63","66","58"
"female","group C","high school","free/reduced","none","64","73","73"
"female","group C","bachelor's degree","standard","none","80","80","75"
"female","group E","master's degree","standard","none","76","70","66"
"male","group D","some high school","free/reduced","none","75","72","78"
